Area,Item,Year,Crop_Yield,Rainfall,Pesticides,Temperature,Rainfall_Category,Temperature_Band,Pesticide_Category,Rainfall_Temp_Index,Pesticide_Efficiency,Log_Pesticides
Albania,Maize,1990,36613.0,1485.0,121.0,16.37,Moderate,Cool,Low,24309.45,300.10655737704917,4.804021044733257
Albania,Potatoes,1990,66667.0,1485.0,121.0,16.37,Moderate,Cool,Low,24309.45,546.4508196721312,4.804021044733257
Albania,"Rice, paddy",1990,23333.0,1485.0,121.0,16.37,Moderate,Cool,Low,24309.45,191.25409836065575,4.804021044733257
Albania,Sorghum,1990,12500.0,1485.0,121.0,16.37,Moderate,Cool,Low,24309.45,102.45901639344262,4.804021044733257
Albania,Soybeans,1990,7000.0,1485.0,121.0,16.37,Moderate,Cool,Low,24309.45,57.377049180327866,4.804021044733257
Albania,Wheat,1990,30197.0,1485.0,121.0,16.37,Moderate,Cool,Low,24309.45,247.51639344262296,4.804021044733257
Albania,Maize,1991,29068.0,1485.0,121.0,15.36,Moderate,Cool,Low,22809.6,238.2622950819672,4.804021044733257
Albania,Potatoes,1991,77818.0,1485.0,121.0,15.36,Moderate,Cool,Low,22809.6,637.8524590163935,4.804021044733257
Albania,"Rice, paddy",1991,28538.0,1485.0,121.0,15.36,Moderate,Cool,Low,22809.6,233.91803278688525,4.804021044733257
Albania,Sorghum,1991,6667.0,1485.0,121.0,15.36,Moderate,Cool,Low,22809.6,54.64754098360656,4.804021044733257
Albania,Soybeans,1991,6066.0,1485.0,121.0,15.36,Moderate,Cool,Low,22809.6,49.721311475409834,4.804021044733257
Albania,Wheat,1991,20698.0,1485.0,121.0,15.36,Moderate,Cool,Low,22809.6,169.65573770491804,4.804021044733257
Albania,Maize,1992,24876.0,1485.0,121.0,16.06,Moderate,Cool,Low,23849.1,203.9016393442623,4.804021044733257
Albania,Potatoes,1992,82920.0,1485.0,121.0,16.06,Moderate,Cool,Low,23849.1,679.672131147541,4.804021044733257
Albania,"Rice, paddy",1992,40000.0,1485.0,121.0,16.06,Moderate,Cool,Low,23849.1,327.8688524590164,4.804021044733257
Albania,Sorghum,1992,3747.0,1485.0,121.0,16.06,Moderate,Cool,Low,23849.1,30.71311475409836,4.804021044733257
Albania,Soybeans,1992,4507.0,1485.0,121.0,16.06,Moderate,Cool,Low,23849.1,36.942622950819676,4.804021044733257
Albania,Wheat,1992,24388.0,1485.0,121.0,16.06,Moderate,Cool,Low,23849.1,199.9016393442623,4.804021044733257
Albania,Maize,1993,24185.0,1485.0,121.0,16.05,Moderate,Cool,Low,23834.25,198.2377049180328,4.804021044733257
Albania,Potatoes,1993,98446.0,1485.0,121.0,16.05,Moderate,Cool,Low,23834.25,806.9344262295082,4.804021044733257
Albania,"Rice, paddy",1993,41786.0,1485.0,121.0,16.05,Moderate,Cool,Low,23834.25,342.5081967213115,4.804021044733257
Albania,Soybeans,1993,7998.0,1485.0,121.0,16.05,Moderate,Cool,Low,23834.25,65.55737704918033,4.804021044733257
Albania,Wheat,1993,29976.0,1485.0,121.0,16.05,Moderate,Cool,Low,23834.25,245.70491803278688,4.804021044733257
Albania,Maize,1994,25848.0,1485.0,201.0,16.96,Moderate,Cool,Low,25185.600000000002,127.96039603960396,5.308267697401205
Albania,Potatoes,1994,81404.0,1485.0,201.0,16.96,Moderate,Cool,Low,25185.600000000002,402.990099009901,5.308267697401205
Albania,Soybeans,1994,7927.0,1485.0,201.0,16.96,Moderate,Cool,Low,25185.600000000002,39.242574257425744,5.308267697401205
Albania,Wheat,1994,24745.0,1485.0,201.0,16.96,Moderate,Cool,Low,25185.600000000002,122.5,5.308267697401205
Albania,Maize,1995,31300.0,1485.0,251.0,15.67,Moderate,Cool,Low,23269.95,124.2063492063492,5.529429087511423
Albania,Potatoes,1995,111323.0,1485.0,251.0,15.67,Moderate,Cool,Low,23269.95,441.7579365079365,5.529429087511423
Albania,Soybeans,1995,11791.0,1485.0,251.0,15.67,Moderate,Cool,Low,23269.95,46.78968253968254,5.529429087511423
Albania,Wheat,1995,28703.0,1485.0,251.0,15.67,Moderate,Cool,Low,23269.95,113.90079365079364,5.529429087511423
Albania,Maize,1996,32604.0,1485.0,313.96,15.64,Moderate,Cool,Low,23225.4,103.51790703581408,5.752445646635482
Albania,Potatoes,1996,106138.0,1485.0,313.96,15.64,Moderate,Cool,Low,23225.4,336.988823977648,5.752445646635482
Albania,Soybeans,1996,15480.0,1485.0,313.96,15.64,Moderate,Cool,Low,23225.4,49.1490982981966,5.752445646635482
Albania,Wheat,1996,21741.0,1485.0,313.96,15.64,Moderate,Cool,Low,23225.4,69.02781305562611,5.752445646635482
Albania,Maize,1997,31862.0,1485.0,376.93,15.9,Moderate,Cool,Low,23611.5,84.30661762760299,5.934708993285509
